Group 110 (omitted pair: (3, 23)): 	[(0, 24, 27),(1, 4, 20),(2, 9, 14),(5, 6, 30),(7, 10, 17),(8, 13, 29),(11, 15, 19),(12, 25, 31),(16, 18, 22),(21, 26, 28)]
Group 111 (omitted pair: (3, 24)): 	[(0, 12, 21),(1, 4, 17),(2, 10, 26),(5, 11, 15),(6, 9, 14),(7, 16, 20),(8, 19, 27),(13, 18, 23),(22, 29, 30),(25, 28, 31)]
Group 112 (omitted pair: (3, 25)): 	[(0, 5, 19),(1, 7, 29),(2, 15, 24),(4, 14, 26),(6, 8, 11),(9, 20, 31),(10, 16, 23),(12, 21, 27),(13, 17, 30),(18, 22, 28)]
Group 113 (omitted pair: (3, 26)): 	[(0, 6, 15),(1, 14, 24),(2, 13, 29),(4, 23, 31),(5, 9, 22),(7, 20, 28),(8, 25, 30),(10, 12, 27),(11, 18, 21),(16, 17, 19)]
Group 114 (omitted pair: (3, 27)): 	[(0, 19, 22),(1, 4, 11),(2, 20, 24),(5, 7, 17),(6, 10, 29),(8, 28, 31),(9, 14, 25),(12, 23, 30),(13, 15, 21),(16, 18, 26)]
Group 115 (omitted pair: (3, 28)): 	[(0, 5, 22),(1, 11, 23),(2, 15, 16),(4, 6, 31),(7, 12, 27),(8, 19, 30),(9, 10, 14),(13, 17, 24),(18, 20, 29),(21, 25, 26)]
Group 116 (omitted pair: (3, 29)): 	[(0, 22, 27),(1, 5, 17),(2, 7, 10),(4, 16, 23),(6, 15, 18),(8, 26, 28),(9, 21, 25),(11, 13, 20),(12, 30, 31),(14, 19, 24)]
Group 117 (omitted pair: (3, 30)): 	[(0, 12, 25),(1, 7, 22),(2, 8, 18),(4, 26, 29),(5, 20, 23),(6, 9, 10),(11, 16, 28),(13, 15, 17),(14, 21, 27),(19, 24, 31)]
Group 118 (omitted pair: (3, 31)): 	[(0, 10, 20),(1, 14, 22),(2, 16, 23),(4, 25, 28),(5, 8, 21),(6, 12, 26),(7, 9, 11),(13, 15, 29),(17, 19, 24),(18, 27, 30)]
Group 119 (omitted pair: (4, 5)): 	[(0, 10, 17),(1, 25, 30),(2, 8, 23),(3, 6, 20),(7, 13, 19),(9, 26, 28),(11, 14, 16),(12, 15, 22),(18, 24, 29),(21, 27, 31)]
Group 120 (omitted pair: (4, 6)): 	[(0, 3, 16),(1, 7, 9),(2, 17, 24),(5, 15, 30),(8, 10, 21),(11, 12, 19),(13, 29, 31),(14, 25, 27),(18, 20, 28),(22, 23, 26)]
Group 121 (omitted pair: (4, 7)): 	[(0, 16, 27),(1, 10, 25),(2, 6, 12),(3, 15, 22),(5, 18, 23),(8, 9, 13),(11, 28, 31),(14, 24, 30),(17, 19, 20),(21, 26, 29)]
